return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount,customer_id,order_date,product_name,category
RET-000067,982,1047,2012-07-25,defective,2,5172.68,146471,2012-07-11,MekongFit MA-05,Casual
RET-000068,1019,2253,2012-07-25,changed_mind,1,1525.9,135040,2012-07-08,VietMotion RP-50,Outdoor
RET-000070,1039,1916,2012-08-04,changed_mind,2,6379.13,148059,2012-07-12,UrbanVN MA-09,Casual
RET-000071,1049,1120,2012-07-25,not_as_described,6,13525.45,43106,2012-07-09,MekongFit RS-08,Outdoor
RET-000072,1064,647,2012-07-23,defective,4,37090.45,10479,2012-07-11,SaigonFlex UC-12,Streetwear
RET-000073,1070,2269,2012-07-28,defective,3,10394.13,3266,2012-07-11,VietMotion RS-02,Outdoor
RET-000074,1110,2332,2012-08-06,wrong_size,6,33066.93,54888,2012-07-09,VietMotion UE-06,Streetwear
RET-000076,1155,2234,2012-07-28,changed_mind,5,3996.66,27748,2012-07-10,VietMotion RP-31,Outdoor
RET-000078,1169,2204,2012-07-29,defective,1,1657.8,23882,2012-07-10,VietMotion RP-01,Outdoor
RET-000079,1239,2407,2012-07-23,wrong_size,2,1804.34,83121,2012-07-12,VietMotion YY-16,GenZ
RET-000082,1294,2388,2012-07-28,not_as_described,1,3588.15,108459,2012-07-13,VietMotion UC-36,Streetwear
RET-000083,1323,573,2012-07-27,defective,8,29572.42,140055,2012-07-11,SaigonFlex UC-38,Streetwear
RET-000084,1338,484,2012-07-21,changed_mind,2,28510.69,141497,2012-07-10,SaigonFlex UM-89,Streetwear
RET-000085,1358,2234,2012-07-26,defective,5,3623.06,148450,2012-07-10,VietMotion RP-31,Outdoor
RET-000086,1358,2235,2012-07-29,wrong_size,3,2321.11,148450,2012-07-10,VietMotion RP-32,Outdoor
RET-000087,1368,1426,2012-08-07,defective,1,3597.4,153722,2012-07-11,VietMode RP-18,Outdoor
RET-000088,1376,565,2012-07-17,defective,1,10091.16,59989,2012-07-10,SaigonFlex UC-30,Streetwear
RET-000090,1395,622,2012-07-29,defective,3,28117.7,10606,2012-07-12,SaigonFlex UC-87,Streetwear
RET-000091,1434,559,2012-07-24,changed_mind,5,33389.26,44025,2012-07-10,SaigonFlex UC-24,Streetwear
RET-000092,1447,606,2012-07-24,wrong_size,1,3769.33,38774,2012-07-11,SaigonFlex UC-71,Streetwear
RET-000093,1476,2054,2012-07-21,changed_mind,7,47099.43,21689,2012-07-12,UrbanVN UE-14,Streetwear
RET-000095,1499,596,2012-07-26,defective,1,8450.74,45342,2012-07-11,SaigonFlex UC-61,Streetwear
RET-000096,1513,1227,2012-08-02,wrong_size,2,7072.27,28666,2012-07-11,MekongFit UC-29,Streetwear
RET-000097,1519,2379,2012-07-21,wrong_size,6,13192.91,35234,2012-07-10,VietMotion UC-27,Streetwear
RET-000098,1524,976,2012-08-09,not_as_described,1,3498.2,35388,2012-07-14,HanoiStreet UC-39,Streetwear
RET-000099,1536,895,2012-07-22,wrong_size,2,12197.78,33600,2012-07-10,HanoiStreet UE-04,Streetwear
RET-000102,1565,976,2012-07-29,defective,1,3556.47,89744,2012-07-14,HanoiStreet UC-39,Streetwear
RET-000103,1600,1974,2012-07-31,wrong_size,2,1339.38,97197,2012-07-14,UrbanVN RP-49,Outdoor
RET-000104,1608,2396,2012-07-28,not_as_described,5,5051.09,79421,2012-07-14,VietMotion YY-05,GenZ
RET-000105,1623,604,2012-07-30,defective,3,17521.98,131581,2012-07-11,SaigonFlex UC-69,Streetwear
RET-000106,1642,1360,2012-08-10,wrong_size,1,4607.58,152303,2012-07-13,VietMode RP-52,Outdoor
RET-000107,1669,785,2012-08-05,late_delivery,2,1296.72,139651,2012-07-14,HanoiStreet RP-73,Outdoor
RET-000108,1674,758,2012-07-31,wrong_size,1,866.92,139138,2012-07-12,HanoiStreet RP-46,Outdoor
RET-000109,1686,622,2012-07-25,late_delivery,2,18018.15,133574,2012-07-11,SaigonFlex UC-87,Streetwear
RET-000112,1740,785,2012-08-13,not_as_described,2,1287.11,8792,2012-07-14,HanoiStreet RP-73,Outdoor
RET-000113,1740,786,2012-08-09,changed_mind,2,1301.2,8792,2012-07-14,HanoiStreet RP-74,Outdoor
RET-000114,1789,1139,2012-08-06,defective,2,15133.06,54840,2012-07-11,MekongFit UM-16,Streetwear
RET-000115,1803,671,2012-07-23,wrong_size,1,10007.74,23015,2012-07-11,SaigonFlex UC-36,Streetwear
RET-000116,1818,826,2012-07-31,wrong_size,5,53670.76,25991,2012-07-14,HanoiStreet UM-10,Streetwear
RET-000117,1841,2400,2012-08-03,not_as_described,1,956.03,31678,2012-07-13,VietMotion YY-09,GenZ
RET-000118,1850,2331,2012-08-09,late_delivery,5,35354.54,85089,2012-07-13,VietMotion UE-05,Streetwear
RET-000122,1911,467,2012-07-26,wrong_size,1,11013.95,125027,2012-07-13,SaigonFlex UM-72,Streetwear
RET-000124,2057,1230,2012-07-22,changed_mind,1,5013.12,15984,2012-07-14,MekongFit UC-32,Streetwear
RET-000125,2074,2255,2012-07-27,defective,1,674.79,64460,2012-07-15,VietMotion RP-52,Outdoor
RET-000126,2075,2254,2012-07-30,wrong_size,1,632.62,64461,2012-07-13,VietMotion RP-51,Outdoor
RET-000129,2133,550,2012-08-04,late_delivery,3,13449.34,24432,2012-07-16,SaigonFlex UC-15,Streetwear
RET-000130,2138,484,2012-07-23,not_as_described,1,14880.18,113500,2012-07-16,SaigonFlex UM-89,Streetwear
RET-000131,2170,2384,2012-07-28,wrong_size,1,7441.06,157395,2012-07-12,VietMotion UC-32,Streetwear
RET-000132,2174,596,2012-07-23,late_delivery,7,63977.13,117638,2012-07-14,SaigonFlex UC-61,Streetwear
RET-000133,2180,596,2012-08-09,defective,3,24861.66,118254,2012-07-15,SaigonFlex UC-61,Streetwear
RET-000134,2182,676,2012-07-31,defective,4,36202.95,118420,2012-07-14,SaigonFlex UC-41,Streetwear
RET-000135,2191,826,2012-07-28,changed_mind,1,11806.56,109631,2012-07-15,HanoiStreet UM-10,Streetwear
RET-000136,2204,964,2012-08-06,not_as_described,1,3439.77,113078,2012-07-16,HanoiStreet UC-27,Streetwear
RET-000137,2213,2250,2012-07-31,changed_mind,1,1469.26,130024,2012-07-15,VietMotion RP-47,Outdoor
RET-000138,2213,2251,2012-08-11,wrong_size,1,1488.29,130024,2012-07-15,VietMotion RP-48,Outdoor
RET-000141,2270,753,2012-08-01,wrong_size,1,2893.39,134517,2012-07-12,HanoiStreet RP-41,Outdoor
RET-000143,2325,915,2012-07-30,wrong_size,4,26661.58,84675,2012-07-15,HanoiStreet UE-24,Streetwear
RET-000144,2331,990,2012-08-03,wrong_size,4,20661.21,102884,2012-07-15,HanoiStreet UC-53,Streetwear
RET-000146,2367,966,2012-08-09,not_as_described,3,15035.92,126675,2012-07-17,HanoiStreet UC-29,Streetwear
RET-000151,2422,819,2012-08-14,wrong_size,2,25515.22,40535,2012-07-19,HanoiStreet UM-03,Streetwear
RET-000152,2468,1006,2012-08-10,wrong_size,4,4338.81,44231,2012-07-17,HanoiStreet YY-07,GenZ
RET-000153,2470,1484,2012-08-11,not_as_described,8,7334.93,45083,2012-07-18,VietMode RP-76,Outdoor
RET-000155,2524,2255,2012-07-27,changed_mind,4,2908.81,73720,2012-07-18,VietMotion RP-52,Outdoor
RET-000156,2532,2396,2012-07-29,not_as_described,1,1169.99,46121,2012-07-18,VietMotion YY-05,GenZ
RET-000157,2538,2070,2012-08-10,wrong_size,3,16457.87,28166,2012-07-15,UrbanVN UC-05,Streetwear
RET-000158,2543,606,2012-07-31,not_as_described,8,26810.39,29343,2012-07-16,SaigonFlex UC-71,Streetwear
RET-000159,2545,609,2012-08-10,wrong_size,1,9034.59,24711,2012-07-18,SaigonFlex UC-74,Streetwear
RET-000160,2548,2074,2012-08-03,wrong_size,4,15279.77,26732,2012-07-15,UrbanVN UC-09,Streetwear
RET-000161,2567,966,2012-08-03,wrong_size,7,36252.76,29993,2012-07-19,HanoiStreet UC-29,Streetwear
RET-000163,2628,1298,2012-08-10,wrong_size,3,12779.24,85813,2012-07-18,VietMode MA-34,Casual
RET-000164,2636,1061,2012-08-07,changed_mind,4,6123.19,100634,2012-07-18,MekongFit RP-07,Outdoor
RET-000165,2651,2252,2012-08-07,defective,1,1359.22,125295,2012-07-19,VietMotion RP-49,Outdoor
RET-000168,2715,635,2012-08-03,wrong_size,1,9780.3,133761,2012-07-16,SaigonFlex UC-00,Streetwear
RET-000169,2730,1228,2012-08-03,wrong_size,3,5027.16,147407,2012-07-19,MekongFit UC-30,Streetwear
RET-000170,2780,990,2012-07-30,not_as_described,2,10684.82,10860,2012-07-17,HanoiStreet UC-53,Streetwear
RET-000171,2788,981,2012-08-05,wrong_size,4,7393.82,11525,2012-07-20,HanoiStreet UC-44,Streetwear
RET-000173,2846,513,2012-08-02,not_as_described,3,14895.72,39476,2012-07-16,SaigonFlex UE-01,Streetwear
RET-000174,2858,604,2012-07-31,late_delivery,3,18245.16,64011,2012-07-18,SaigonFlex UC-69,Streetwear
RET-000175,2875,475,2012-08-10,changed_mind,3,36474.91,17431,2012-07-17,SaigonFlex UM-80,Streetwear
RET-000177,2927,1114,2012-08-03,defective,2,3570.74,36443,2012-07-17,MekongFit RS-02,Outdoor
RET-000179,2991,1215,2012-08-03,not_as_described,2,7432.63,82832,2012-07-16,MekongFit UC-17,Streetwear
RET-000181,3050,915,2012-08-01,wrong_size,4,25267.97,139982,2012-07-18,HanoiStreet UE-24,Streetwear
RET-000182,3054,785,2012-08-03,wrong_size,3,2098.44,138164,2012-07-18,HanoiStreet RP-73,Outdoor
RET-000183,3054,786,2012-07-30,late_delivery,2,1360.99,138164,2012-07-18,HanoiStreet RP-74,Outdoor
RET-000184,3092,2226,2012-08-03,late_delivery,2,7295.16,134322,2012-07-19,VietMotion RP-23,Outdoor
RET-000185,3092,2227,2012-08-08,wrong_size,1,3285.94,134322,2012-07-19,VietMotion RP-24,Outdoor
RET-000187,3110,757,2012-08-04,not_as_described,3,2387.25,150970,2012-07-17,HanoiStreet RP-45,Outdoor
RET-000188,3110,758,2012-07-31,late_delivery,2,1657.41,150970,2012-07-17,HanoiStreet RP-46,Outdoor
RET-000191,3161,910,2012-08-10,wrong_size,2,9683.54,6885,2012-07-19,HanoiStreet UE-19,Streetwear
RET-000192,3164,1144,2012-07-31,wrong_size,4,19559.76,7314,2012-07-21,MekongFit UR-01,Streetwear
RET-000193,3260,1065,2012-08-10,not_as_described,5,17881.67,28277,2012-07-19,MekongFit RP-11,Outdoor
RET-000194,3290,2240,2012-08-13,wrong_size,1,984.42,33807,2012-07-19,VietMotion RP-37,Outdoor
RET-000195,3290,2241,2012-08-02,defective,1,954.74,33807,2012-07-19,VietMotion RP-38,Outdoor
RET-000196,3292,2071,2012-08-12,defective,1,3775.1,32810,2012-07-19,UrbanVN UC-06,Streetwear
RET-000197,3297,2400,2012-08-12,defective,2,1974.84,33184,2012-07-17,VietMotion YY-09,GenZ
RET-000198,3311,767,2012-08-02,not_as_described,2,2100.58,102903,2012-07-19,HanoiStreet RP-55,Outdoor
RET-000199,3312,768,2012-08-03,wrong_size,1,1015.15,102904,2012-07-20,HanoiStreet RP-56,Outdoor
RET-000201,3350,826,2012-08-08,late_delivery,2,24204.09,76874,2012-07-19,HanoiStreet UM-10,Streetwear
RET-000202,3396,2331,2012-08-03,changed_mind,1,7045.2,107083,2012-07-17,VietMotion UE-05,Streetwear
RET-000203,3419,2327,2012-08-02,defective,1,6320.27,143551,2012-07-19,VietMotion UE-01,Streetwear
RET-000204,3430,573,2012-08-10,wrong_size,3,11045.95,142487,2012-07-20,SaigonFlex UC-38,Streetwear
RET-000205,3438,2343,2012-07-30,late_delivery,4,22110.53,137877,2012-07-17,VietMotion UE-17,Streetwear
RET-000206,3441,785,2012-08-08,not_as_described,3,1891.79,138129,2012-07-20,HanoiStreet RP-73,Outdoor
RET-000207,3441,786,2012-08-03,wrong_size,3,1807.63,138129,2012-07-20,HanoiStreet RP-74,Outdoor
RET-000209,3462,1131,2012-08-12,changed_mind,1,4849.52,135514,2012-07-19,MekongFit UM-08,Streetwear
RET-000210,3475,1053,2012-08-02,wrong_size,1,3156.88,137015,2012-07-18,MekongFit MA-11,Casual
RET-000211,3506,915,2012-07-29,defective,4,26223.03,57791,2012-07-18,HanoiStreet UE-24,Streetwear
RET-000212,3512,2070,2012-08-17,changed_mind,1,5848.22,48609,2012-07-22,UrbanVN UC-05,Streetwear
RET-000213,3516,2252,2012-08-04,wrong_size,1,1630.72,42968,2012-07-21,VietMotion RP-49,Outdoor
RET-000214,3516,2253,2012-08-12,defective,4,6339.72,42968,2012-07-21,VietMotion RP-50,Outdoor
RET-000215,3529,1085,2012-08-05,wrong_size,1,1071.85,1434,2012-07-18,MekongFit RP-31,Outdoor
RET-000216,3529,1086,2012-08-05,wrong_size,4,4099.03,1434,2012-07-18,MekongFit RP-32,Outdoor
RET-000217,3547,676,2012-08-10,wrong_size,1,9334.5,4020,2012-07-21,SaigonFlex UC-41,Streetwear
RET-000218,3562,443,2012-08-05,defective,5,48043.84,65662,2012-07-21,SaigonFlex UM-48,Streetwear
RET-000219,3574,2055,2012-08-02,changed_mind,1,6453.8,50844,2012-07-18,UrbanVN UE-15,Streetwear
RET-000220,3638,757,2012-08-09,late_delivery,1,790.13,34559,2012-07-21,HanoiStreet RP-45,Outdoor
RET-000221,3638,758,2012-08-15,wrong_size,1,760.69,34559,2012-07-21,HanoiStreet RP-46,Outdoor
RET-000222,3693,2388,2012-08-08,wrong_size,6,19941.69,109644,2012-07-19,VietMotion UC-36,Streetwear
RET-000223,3713,2091,2012-08-03,not_as_described,2,3643.22,124531,2012-07-21,UrbanVN UC-26,Streetwear
RET-000225,3727,992,2012-07-26,wrong_size,2,6401.39,130742,2012-07-18,HanoiStreet UC-55,Streetwear
RET-000227,3740,1393,2012-07-29,defective,1,3937.75,154993,2012-07-19,VietMode RP-85,Outdoor
RET-000228,3740,1394,2012-08-13,not_as_described,5,20064.34,154993,2012-07-19,VietMode RP-86,Outdoor
RET-000229,3763,443,2012-08-09,defective,3,29251.6,139915,2012-07-19,SaigonFlex UM-48,Streetwear
RET-000230,3775,622,2012-08-09,changed_mind,1,9240.15,137681,2012-07-21,SaigonFlex UC-87,Streetwear
RET-000231,3815,757,2012-08-07,defective,2,1623.82,59341,2012-07-22,HanoiStreet RP-45,Outdoor
RET-000232,3815,758,2012-08-09,defective,1,839.29,59341,2012-07-22,HanoiStreet RP-46,Outdoor
RET-000233,3818,910,2012-08-05,defective,2,8696.18,57944,2012-07-20,HanoiStreet UE-19,Streetwear
RET-000234,3819,631,2012-07-31,wrong_size,1,4203.36,57459,2012-07-23,SaigonFlex UC-96,Streetwear
RET-000235,3824,967,2012-08-05,wrong_size,2,16659.39,41396,2012-07-20,HanoiStreet UC-30,Streetwear
RET-000236,3837,596,2012-08-12,wrong_size,1,8652.52,15436,2012-07-19,SaigonFlex UC-61,Streetwear
RET-000237,3838,915,2012-08-16,late_delivery,1,5749.72,15722,2012-07-23,HanoiStreet UE-24,Streetwear
RET-000238,3839,2204,2012-08-12,not_as_described,1,1595.2,9048,2012-07-23,VietMotion RP-01,Outdoor
RET-000240,3853,915,2012-08-14,changed_mind,3,19009.01,6632,2012-07-20,HanoiStreet UE-24,Streetwear
RET-000241,3854,1916,2012-07-28,defective,7,23025.54,6819,2012-07-19,UrbanVN MA-09,Casual
RET-000242,3864,2012,2012-07-31,late_delivery,3,11871.86,44127,2012-07-21,UrbanVN UR-15,Streetwear
RET-000244,3972,2400,2012-08-20,defective,2,2047.83,114737,2012-07-23,VietMotion YY-09,GenZ
RET-000245,3983,769,2012-08-13,defective,1,2992.97,103524,2012-07-19,HanoiStreet RP-57,Outdoor
RET-000246,3994,1934,2012-08-07,wrong_size,4,5785.98,118411,2012-07-19,UrbanVN RP-09,Outdoor
RET-000247,3994,1935,2012-07-29,defective,2,2943.13,118411,2012-07-19,UrbanVN RP-10,Outdoor
RET-000248,4010,786,2012-08-15,wrong_size,2,1273.45,121639,2012-07-19,HanoiStreet RP-74,Outdoor
RET-000249,4027,785,2012-08-09,wrong_size,4,2723.42,97638,2012-07-22,HanoiStreet RP-73,Outdoor
RET-000250,4027,786,2012-08-07,late_delivery,1,652.26,97638,2012-07-22,HanoiStreet RP-74,Outdoor
RET-000251,4102,914,2012-08-03,late_delivery,4,24914.74,135256,2012-07-22,HanoiStreet UE-23,Streetwear
RET-000252,4129,981,2012-08-05,wrong_size,1,1796.56,43137,2012-07-23,HanoiStreet UC-44,Streetwear
RET-000253,4130,635,2012-08-21,defective,5,48265.69,10881,2012-07-24,SaigonFlex UC-00,Streetwear
RET-000256,4150,966,2012-08-13,wrong_size,5,27012.19,17760,2012-07-24,HanoiStreet UC-29,Streetwear
RET-000257,4151,915,2012-08-19,not_as_described,1,6255.78,17798,2012-07-23,HanoiStreet UE-24,Streetwear
RET-000258,4167,785,2012-08-03,wrong_size,2,1314.65,98384,2012-07-21,HanoiStreet RP-73,Outdoor
RET-000259,4175,964,2012-07-30,wrong_size,1,3875.34,34672,2012-07-21,HanoiStreet UC-27,Streetwear
RET-000262,4191,604,2012-08-12,not_as_described,3,17808.62,119253,2012-07-23,SaigonFlex UC-69,Streetwear
RET-000263,4247,910,2012-08-18,wrong_size,1,4729.35,59971,2012-07-25,HanoiStreet UE-19,Streetwear
RET-000264,4305,2384,2012-07-31,not_as_described,1,7028.77,5994,2012-07-22,VietMotion UC-32,Streetwear
RET-000265,4317,1775,2012-08-20,late_delivery,4,31242.43,4040,2012-07-24,SaigonCore UE-10,Streetwear
RET-000270,4349,1936,2012-08-16,wrong_size,3,8979.19,51531,2012-07-26,UrbanVN RP-11,Outdoor
RET-000271,4360,2255,2012-08-10,wrong_size,1,712.67,17773,2012-07-25,VietMotion RP-52,Outdoor
RET-000272,4394,2053,2012-08-22,wrong_size,1,3749.7,25906,2012-07-24,UrbanVN UE-13,Streetwear
RET-000273,4396,819,2012-08-03,wrong_size,6,80250.63,27569,2012-07-22,HanoiStreet UM-03,Streetwear
RET-000274,4428,2064,2012-08-11,not_as_described,1,6165.22,36225,2012-07-25,UrbanVN UE-24,Streetwear
RET-000276,4526,1936,2012-08-14,wrong_size,6,19911.07,154486,2012-07-24,UrbanVN RP-11,Outdoor
RET-000277,4526,1937,2012-08-17,not_as_described,4,12888.07,154486,2012-07-24,UrbanVN RP-12,Outdoor
RET-000278,4567,910,2012-08-18,late_delivery,2,10038.22,133473,2012-07-26,HanoiStreet UE-19,Streetwear
RET-000279,4575,2331,2012-08-17,wrong_size,1,6298.46,136155,2012-07-25,VietMotion UE-05,Streetwear
RET-000280,4587,725,2012-08-03,wrong_size,1,1316.22,148433,2012-07-25,HanoiStreet RP-13,Outdoor
RET-000281,4589,596,2012-08-07,defective,5,45591.35,148460,2012-07-23,SaigonFlex UC-61,Streetwear
RET-000283,4607,2380,2012-08-09,changed_mind,5,16806.67,58990,2012-07-26,VietMotion UC-28,Streetwear
RET-000285,4625,2064,2012-08-05,not_as_described,4,23711.11,42510,2012-07-24,UrbanVN UE-24,Streetwear
RET-000286,4630,475,2012-08-22,wrong_size,2,23922.3,13007,2012-07-27,SaigonFlex UM-80,Streetwear
RET-000288,4636,768,2012-08-07,wrong_size,3,2978.72,14886,2012-07-23,HanoiStreet RP-56,Outdoor
RET-000289,4681,606,2012-08-19,wrong_size,1,3834.57,50756,2012-07-25,SaigonFlex UC-71,Streetwear
RET-000290,4699,1096,2012-07-31,changed_mind,6,8270.6,17447,2012-07-24,MekongFit RP-42,Outdoor
RET-000291,4731,726,2012-08-21,defective,3,3677.56,45832,2012-07-26,HanoiStreet RP-14,Outdoor
RET-000293,4772,269,2012-08-10,defective,4,20556.63,29709,2012-07-27,LotusWear UR-41,Streetwear
RET-000295,4817,770,2012-08-16,changed_mind,4,12091.9,118059,2012-07-25,HanoiStreet RP-58,Outdoor
RET-000296,4826,573,2012-08-15,defective,1,3600.88,76755,2012-07-25,SaigonFlex UC-38,Streetwear
RET-000297,4831,647,2012-08-18,wrong_size,8,80306.94,81388,2012-07-27,SaigonFlex UC-12,Streetwear
RET-000298,4853,475,2012-08-03,wrong_size,1,11772.32,154936,2012-07-25,SaigonFlex UM-80,Streetwear
RET-000299,4860,2241,2012-08-17,wrong_size,1,949.49,151691,2012-07-27,VietMotion RP-38,Outdoor
RET-000300,4871,757,2012-08-07,defective,1,846.88,141004,2012-07-25,HanoiStreet RP-45,Outdoor
RET-000301,4871,758,2012-08-04,not_as_described,1,839.83,141004,2012-07-25,HanoiStreet RP-46,Outdoor
RET-000302,4901,2396,2012-08-09,defective,7,7478.71,149556,2012-07-23,VietMotion YY-05,GenZ
RET-000303,4909,2254,2012-08-18,defective,3,1875.1,147870,2012-07-27,VietMotion RP-51,Outdoor
RET-000304,4909,2255,2012-08-17,wrong_size,5,3144.43,147870,2012-07-27,VietMotion RP-52,Outdoor
RET-000305,4914,2388,2012-08-14,not_as_described,1,3439.82,57735,2012-07-28,VietMotion UC-36,Streetwear
RET-000306,4915,826,2012-08-09,wrong_size,4,45553.76,57112,2012-07-24,HanoiStreet UM-10,Streetwear
RET-000307,4917,1847,2012-08-21,defective,1,1355.0,40630,2012-07-25,SaigonCore YY-42,GenZ
RET-000308,4950,2384,2012-08-07,late_delivery,5,34615.29,6035,2012-07-26,VietMotion UC-32,Streetwear
RET-000309,4953,2054,2012-08-12,wrong_size,1,5939.48,6476,2012-07-27,UrbanVN UE-14,Streetwear
RET-000310,5040,1086,2012-08-13,wrong_size,2,1912.35,45493,2012-07-25,MekongFit RP-32,Outdoor
RET-000311,5048,472,2012-08-15,not_as_described,3,30335.27,26058,2012-07-26,SaigonFlex UM-77,Streetwear
